Municipality,Year,Ethnic_Vote_Share,Casualty,Log_Casualty,HHI_SB,HHI_CB,HHI_SC,Pop_Density,Income_PC,Avg_Age,Avg_Age_Sqr,Refugees,Prison_Camps,Lost_Stock,CivilianCasualty,Log_CivilianCasualty
Banja Luka,2014,92.94054419,0.919812767,-0.083585144,0.46152163,0.14713888,0.46094542,157.9435028,31953.16109,32.56276445,1060.333628,5.157594587,0.045990638,0.506642502,0.085849192,-2.455163103
Celinac,2006,95.00205395,1.277186982,0.244659989,0.819768289,0.073616738,0.880601435,51.69337017,15775.02271,30.96617325,958.9038857,2.174958585,0.213755143,2.256455922,0.144284722,-1.935966695
Celinac,2010,96.52118912,1.277186982,0.244659989,0.819768289,0.073616738,0.880601435,51.69337017,15775.02271,30.96617325,958.9038857,2.174958585,0.213755143,2.256455922,0.144284722,-1.935966695
Celinac,2014,95.12164999,1.277186982,0.244659989,0.819768289,0.073616738,0.880601435,51.69337017,15775.02271,30.96617325,958.9038857,2.174958585,0.213755143,2.256455922,0.144284722,-1.935966695
Tesanj,2006,76.67509892,1.551155116,0.43899989,0.667619923,0.611524243,0.153255779,218.3783784,18202.68152,28.19358498,794.8782342,2.629950495,0.082508251,NA,0.321782178,-1.133880428
Tesanj,2010,59.67726256,1.551155116,0.43899989,0.667619923,0.611524243,0.153255779,218.3783784,18202.68152,28.19358498,794.8782342,2.629950495,0.082508251,NA,0.321782178,-1.133880428
Tesanj,2014,69.95451526,1.551155116,0.43899989,0.667619923,0.611524243,0.153255779,218.3783784,18202.68152,28.19358498,794.8782342,2.629950495,0.082508251,NA,0.321782178,-1.133880428
Maglaj,2006,76.28468654,1.991334009,0.68880477,0.392639194,0.373695412,0.262814325,112.6961039,22577.41772,29.6704734,880.3369919,2.42002397,0.023047847,25.66685346,0.488614363,-0.716181724
Maglaj,2010,59.76591075,1.991334009,0.68880477,0.392639194,0.373695412,0.262814325,112.6961039,22577.41772,29.6704734,880.3369919,2.42002397,0.023047847,25.66685346,0.488614363,-0.716181724
Maglaj,2014,64.50679136,1.991334009,0.68880477,0.392639194,0.373695412,0.262814325,112.6961039,22577.41772,29.6704734,880.3369919,2.42002397,0.023047847,25.66685346,0.488614363,-0.716181724
Srebrenik,2006,57.0783944,0.846048513,-0.167178577,0.655135796,0.690315397,0.108452694,164.9032258,9951.095462,29.50437696,870.5082596,1.432902973,0,3.917322835,0.022007042,-3.816392786
Srebrenik,2010,46.00522193,0.846048513,-0.167178577,0.655135796,0.690315397,0.108452694,164.9032258,9951.095462,29.50437696,870.5082596,1.432902973,0,3.917322835,0.022007042,-3.816392786
Srebrenik,2014,59.76266911,0.846048513,-0.167178577,0.655135796,0.690315397,0.108452694,164.9032258,9951.095462,29.50437696,870.5082596,1.432902973,0,3.917322835,0.022007042,-3.816392786
Tuzla,2006,43.58221858,1.024935799,0.024629976,0.397412904,0.39727772,0.154497852,434.3828383,36661.12538,31.90332249,1017.821986,1.254387698,0.113966175,4.613247414,0.117005273,-2.145536277
Tuzla,2010,36.78334801,1.024935799,0.024629976,0.397412904,0.39727772,0.154497852,434.3828383,36661.12538,31.90332249,1017.821986,1.254387698,0.113966175,4.613247414,0.117005273,-2.145536277
Tuzla,2014,51.99892006,1.024935799,0.024629976,0.397412904,0.39727772,0.154497852,434.3828383,36661.12538,31.90332249,1017.821986,1.254387698,0.113966175,4.613247414,0.117005273,-2.145536277
