"","rid","race","latino","age","vote04","tvnews","newspaper","internet","approval","bush.th","obama.th","mccain.th","partyid","income"
"1579",1580,2,2,41,1,NA,NA,0,0,30,85,50,1,NA
"1580",1581,2,2,35,1,7,0,NA,0,0,70,30,1,NA
"1581",1582,2,2,50,1,NA,NA,0,0,40,40,40,1,NA
"1582",1583,2,2,62,0,7,0,NA,0,40,70,40,1,NA
"1584",1585,2,2,57,1,NA,NA,0,0,50,60,50,1,NA
"1587",1588,2,2,49,1,2,2,NA,0,15,85,50,1,NA
"1589",1590,2,2,31,1,7,1,NA,0,60,85,60,1,14
"1591",1592,2,2,30,0,0,0,NA,0,0,85,30,3,10
"1592",1593,2,2,41,0,4,1,NA,0,15,70,15,3,14
"1603",1604,2,2,27,1,0,0,NA,0,60,85,30,1,NA
"1608",1609,2,2,47,1,4,0,NA,0,50,100,15,3,14
"1609",1610,2,2,54,1,NA,NA,0,0,30,100,30,1,NA
"1612",1613,2,2,22,1,7,7,NA,0,60,85,50,1,18
"1614",1615,2,2,26,1,NA,NA,0,0,50,100,50,1,NA
"1615",1616,2,2,59,1,7,0,NA,0,0,100,0,1,NA
"1616",1617,2,2,61,1,2,7,NA,0,30,85,40,1,16
"1617",1618,2,2,34,1,NA,NA,0,0,15,85,50,1,3
"1618",1619,2,2,68,1,0,0,NA,0,50,100,50,1,6
"1619",1620,2,2,20,0,0,0,NA,0,15,100,15,1,NA
"1620",1621,2,2,53,1,2,7,NA,0,50,100,70,1,NA
"1621",1622,2,2,20,0,1,4,NA,0,40,100,50,1,9
"1622",1623,2,2,55,0,NA,NA,0,0,55,70,50,1,NA
"1623",1624,2,2,62,1,NA,NA,0,0,0,60,0,1,NA
"1624",1625,2,2,79,1,5,7,NA,0,60,70,60,1,NA
"1625",1626,2,2,20,0,1,0,NA,0,40,70,50,1,NA
"1626",1627,2,2,26,1,4,3,NA,0,40,85,60,3,15
"1627",1628,2,2,72,1,NA,NA,0,0,15,60,0,1,NA
"1629",1630,2,2,21,0,3,1,NA,0,70,100,50,1,NA
"1630",1631,2,2,46,1,NA,NA,3,0,0,50,30,3,NA
"1631",1632,2,2,19,0,NA,NA,0,0,0,100,50,5,NA
"1632",1633,2,2,78,1,NA,NA,0,0,40,85,40,1,NA
"1633",1634,2,2,71,1,NA,NA,0,0,0,70,30,3,NA
"1634",1635,2,2,48,1,7,0,NA,0,0,85,15,1,NA
"1635",1636,2,2,78,1,NA,NA,0,0,70,85,70,1,NA
"1636",1637,2,2,77,1,7,0,NA,0,50,85,0,1,NA
"1637",1638,2,2,28,1,NA,NA,1,0,0,100,15,1,12
"1644",1645,2,2,56,1,NA,NA,5,0,30,75,30,2,18
"1649",1650,2,2,70,1,7,2,NA,1,70,85,70,1,21
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1701",1702,2,2,27,1,0,0,NA,0,40,60,30,1,NA
"1702",1703,2,2,72,0,NA,NA,0,0,0,85,50,1,NA
"1703",1704,2,2,57,1,NA,NA,2,0,30,60,30,1,NA
"1704",1705,2,2,58,1,NA,NA,2,0,0,85,15,1,NA
"1705",1706,2,2,32,1,5,0,NA,0,0,100,15,1,NA
"1706",1707,2,2,58,1,3,0,NA,0,40,70,40,1,18
"1707",1708,2,2,31,0,3,1,NA,0,0,70,0,1,NA
"1708",1709,2,2,50,1,4,5,NA,0,30,85,50,1,19
"1710",1711,2,2,50,1,7,1,NA,0,40,70,70,3,17
"1711",1712,2,2,30,1,1,0,NA,0,15,100,40,1,NA
"1712",1713,2,2,59,0,NA,NA,0,0,15,85,30,3,5
"1717",1718,2,2,40,0,7,0,NA,0,0,90,15,3,NA
"1726",1727,2,2,34,0,2,2,NA,0,15,85,30,1,15
"1731",1732,2,2,28,NA,NA,NA,0,0,0,70,0,3,9
"1732",1733,2,2,60,0,7,7,NA,0,30,100,0,3,NA
"1733",1734,2,2,22,0,1,1,NA,0,40,50,40,3,NA
"1734",1735,2,2,70,1,7,7,NA,0,40,85,30,1,NA
"1737",1738,2,2,46,1,NA,NA,0,0,0,100,30,3,15
"1738",1739,2,2,53,0,NA,NA,0,0,40,100,40,1,NA
"1739",1740,2,2,49,0,NA,NA,0,0,0,70,15,3,1
"1740",1741,2,2,66,1,1,7,NA,0,0,70,50,1,19
"1741",1742,2,2,55,1,NA,NA,0,0,60,85,60,5,12
"1743",1744,2,2,39,1,7,3,NA,0,30,100,0,1,NA
"1744",1745,2,1,36,0,NA,NA,0,0,0,100,0,1,9
"1745",1746,2,2,35,0,NA,NA,0,0,0,85,50,3,13
"1746",1747,2,2,61,1,NA,NA,0,0,50,100,0,1,13
"1749",1750,2,2,78,1,NA,NA,0,0,60,98,30,1,13
"1755",1756,2,2,42,1,3,0,NA,1,50,50,50,5,17
"1756",1757,2,2,30,0,0,5,NA,0,30,85,40,1,NA
"1757",1758,2,2,73,1,0,7,NA,0,50,85,50,1,9
"1758",1759,2,2,37,0,7,0,NA,0,0,100,0,1,NA
"1759",1760,2,2,37,0,NA,NA,0,0,50,100,70,3,NA
"1760",1761,2,2,24,1,7,1,NA,0,0,100,0,1,13
"1761",1762,2,2,46,0,0,1,NA,NA,50,50,50,5,13
"1762",1763,2,2,21,0,NA,NA,7,0,0,100,15,5,NA
"1763",1764,2,2,45,0,NA,NA,0,NA,50,50,60,1,5
"1764",1765,2,2,57,0,3,0,NA,1,70,70,60,3,NA
"1765",1766,2,2,34,0,1,4,NA,0,70,70,60,3,15
"1772",1773,2,2,56,0,7,0,NA,0,0,NA,1,NA,NA
"1773",1774,2,2,52,0,NA,NA,0,0,50,85,60,1,NA
"1774",1775,2,2,50,1,7,0,NA,0,50,85,60,1,NA
"1775",1776,2,2,74,1,NA,NA,0,0,0,85,30,1,NA
"1776",1777,2,2,54,0,NA,NA,0,0,15,100,15,1,8
"1783",1784,2,2,50,0,NA,NA,0,NA,NA,NA,NA,NA,1
"1784",1785,2,2,63,0,NA,NA,0,0,85,60,30,1,4
"1785",1786,2,2,62,1,7,3,NA,0,50,70,40,1,NA
"1786",1787,2,2,34,1,NA,NA,0,0,60,NA,NA,1,12
"1787",1788,2,2,63,1,6,2,NA,0,40,100,50,1,1
"1788",1789,2,2,20,0,0,2,NA,0,85,100,85,3,NA
"1789",1790,2,2,58,1,NA,NA,7,0,0,100,15,3,NA
"1790",1791,2,2,69,1,7,0,NA,0,85,100,50,1,NA
"1791",1792,2,2,30,0,NA,NA,0,1,70,85,60,3,2
"1792",1793,2,2,46,1,NA,NA,0,0,0,100,0,1,NA
"1793",1794,2,2,51,1,NA,NA,4,0,30,100,30,1,NA
"1794",1795,2,2,48,1,NA,NA,0,0,0,100,0,1,NA
"1795",1796,2,2,21,0,NA,NA,0,1,60,60,60,NA,NA
"1796",1797,2,2,30,1,7,3,NA,0,50,85,50,1,NA
"1797",1798,2,2,57,1,NA,NA,0,0,50,100,50,1,11
"1798",1799,2,2,57,1,5,2,NA,0,50,100,60,1,15
"1799",1800,2,2,59,0,NA,NA,0,1,100,100,100,2,5
"1800",1801,2,2,52,1,4,2,NA,0,40,100,40,1,18
"1801",1802,2,2,39,0,5,3,NA,0,0,100,15,1,NA
"1803",1804,2,2,48,1,2,0,NA,NA,70,100,70,1,9
"1804",1805,2,2,19,0,3,4,NA,0,0,100,40,1,1
"1805",1806,2,2,49,1,6,4,NA,0,50,70,50,1,NA
"1806",1807,2,2,21,0,NA,NA,0,0,30,85,50,1,5
"1807",1808,2,2,43,1,NA,NA,0,0,50,90,20,1,NA
"1808",1809,2,2,56,1,7,2,NA,0,10,50,25,1,NA
"1809",1810,2,2,55,1,NA,NA,1,0,50,80,50,1,NA
"1810",1811,2,2,53,0,NA,NA,7,0,30,100,50,1,NA
"1811",1812,2,1,20,0,0,0,NA,0,15,50,40,3,5
"1812",1813,2,2,51,0,NA,NA,0,0,0,99,0,1,7
"1813",1814,2,2,19,0,1,3,NA,0,53,80,60,1,NA
"1815",1816,2,2,44,0,2,1,NA,0,0,100,50,3,NA
"1816",1817,2,2,40,1,4,0,NA,1,0,60,0,1,NA
"1817",1818,2,2,51,1,NA,NA,0,0,50,100,50,1,NA
"1818",1819,2,2,50,1,NA,NA,0,0,50,85,50,1,13
"1819",1820,2,2,52,0,NA,NA,0,0,35,72,41,1,NA
"1820",1821,2,2,65,1,5,3,NA,0,0,100,0,1,12
"1821",1822,2,2,33,NA,2,7,NA,0,50,100,85,3,NA
"1822",1823,2,2,35,1,3,1,NA,0,60,85,50,5,15
"1823",1824,2,1,51,1,NA,NA,7,0,0,100,0,1,NA
"1824",1825,2,2,52,1,NA,NA,7,0,75,45,70,1,15
"1825",1826,2,2,33,1,NA,NA,6,0,15,100,15,1,NA
"1826",1827,2,2,29,0,NA,NA,0,0,0,50,50,3,12
"1827",1828,2,2,45,0,5,2,NA,0,50,100,30,1,14
"1828",1829,2,2,35,0,NA,NA,0,0,0,100,60,2,10
"1829",1830,2,2,56,1,7,4,NA,0,0,55,25,1,18
"1830",1831,2,2,26,0,NA,NA,1,0,20,65,65,1,NA
"1831",1832,2,2,30,0,NA,NA,0,0,25,75,50,1,NA
"1832",1833,2,2,27,0,4,1,NA,1,60,100,70,1,NA
"1833",1834,2,2,68,0,0,7,NA,1,50,50,50,3,NA
"1834",1835,2,2,26,0,NA,NA,0,0,1,50,0,1,NA
"1835",1836,2,2,38,1,5,0,NA,0,15,100,50,1,NA
"1921",1922,2,2,43,1,NA,NA,2,1,50,60,40,1,NA
"1931",1932,2,2,47,0,7,0,NA,0,70,100,70,1,10
"1945",1946,2,2,31,0,NA,NA,7,NA,NA,85,70,3,11
"1946",1947,2,2,27,0,7,0,NA,0,0,85,0,3,NA
"1948",1949,2,2,57,1,NA,NA,7,0,70,85,15,3,16
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1977",1978,2,2,33,1,0,1,NA,0,0,60,50,3,9
"2001",2002,2,2,85,1,7,7,NA,0,100,100,85,1,NA
"2057",2058,2,2,34,0,NA,NA,0,0,0,100,30,1,18
"2059",2060,2,2,31,1,1,0,NA,0,30,60,50,1,16
"2060",2061,2,2,44,0,1,3,NA,0,0,70,30,1,NA
"2061",2062,2,2,19,0,NA,NA,7,0,0,95,15,1,3
"2063",2064,2,2,51,0,0,0,NA,0,60,85,40,1,NA
"2065",2066,2,2,34,1,NA,NA,0,0,0,85,15,1,NA
"2066",2067,2,2,30,0,NA,NA,0,0,0,100,15,1,4
"2068",2069,2,2,32,0,NA,NA,0,0,0,70,30,4,NA
"2069",2070,2,2,60,1,3,0,NA,0,30,85,60,1,16
"2070",2071,2,2,45,0,1,2,NA,0,70,100,0,1,4
"2072",2073,2,2,41,0,NA,NA,0,0,50,100,60,1,19
"2073",2074,2,2,33,1,3,1,NA,0,50,85,70,3,19
"2102",2103,2,2,57,1,2,2,NA,0,30,70,50,1,NA
"2104",2105,2,2,66,NA,1,0,NA,1,85,85,50,1,NA
"2109",2110,2,2,78,1,5,0,NA,0,30,60,30,1,9
"2111",2112,2,2,37,1,NA,NA,1,0,50,50,50,3,9
"2117",2118,2,2,66,1,4,5,NA,0,70,85,70,1,12
"2170",2171,2,2,25,0,NA,NA,0,NA,50,50,50,3,NA
"2184",2185,2,2,35,1,3,1,NA,0,50,70,70,3,NA
"2186",2187,2,2,41,0,NA,NA,0,0,0,70,85,3,NA
"2187",2188,2,2,46,1,3,0,NA,0,40,85,60,1,13
"2188",2189,2,2,47,1,NA,NA,3,0,40,60,50,3,NA
"2190",2191,2,2,52,1,NA,NA,0,0,70,100,85,3,11
"2191",2192,2,2,60,0,NA,NA,0,0,50,85,NA,1,4
"2192",2193,2,2,56,0,5,0,NA,1,100,85,70,3,NA
"2194",2195,2,2,32,0,NA,NA,5,0,85,100,50,3,NA
"2196",2197,2,2,52,1,NA,NA,0,0,15,100,40,1,19
"2206",2207,2,2,23,1,0,0,NA,0,30,70,50,1,NA
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2249",2250,2,2,41,1,7,2,NA,0,30,70,40,1,18
"2250",2251,2,2,60,0,4,4,NA,0,50,60,40,1,7
"2256",2257,2,2,39,1,0,1,NA,0,0,70,0,1,25
"2262",2263,2,2,79,0,7,7,NA,0,0,85,0,1,NA
"2263",2264,2,2,25,1,7,4,NA,0,0,100,60,1,9
"2268",2269,2,2,36,1,7,6,NA,0,50,85,30,3,NA
"2269",2270,2,2,31,0,NA,NA,3,0,60,85,50,1,7
"2277",2278,2,2,32,1,1,0,NA,0,0,70,40,1,4
"2278",2279,2,2,48,1,5,7,NA,0,0,100,50,1,12
"2280",2281,2,2,43,1,NA,NA,5,0,15,100,30,1,19
"2281",2282,2,2,53,1,NA,NA,5,0,0,100,30,1,22
"2284",2285,2,2,21,0,NA,NA,0,1,60,100,60,3,18
"2285",2286,2,2,18,0,0,0,NA,0,40,85,50,2,6
"2286",2287,2,2,65,1,NA,NA,0,0,30,100,30,1,NA
"2287",2288,2,2,30,0,7,0,NA,0,0,85,15,3,5
"2288",2289,2,2,54,1,7,2,NA,0,0,100,0,3,NA
"2291",2292,2,2,62,1,7,0,NA,0,40,70,40,1,NA
"2300",2301,2,2,25,0,NA,NA,2,0,15,85,40,1,15
