rid,race,latino,age,vote04,tvnews,newspaper,internet,approval,bush.th,obama.th,mccain.th,partyid,income
534,1,2,25,0,,,0,0,40,70,40,3,19
535,1,2,58,1,,,1,0,15,60,40,1,25
536,1,2,56,1,7,0,,0,60,50,50,1,
537,2,2,51,0,,,0,0,0,85,0,3,
538,1,1,53,1,7,2,,1,70,60,85,2,13
539,1,1,27,1,2,0,,0,60,30,70,2,15
540,1,2,37,1,7,1,,1,70,50,60,2,17
541,1,2,59,1,4,0,,1,70,0,90,2,17
542,1,2,56,1,,,0,1,70,0,70,2,
543,1,2,77,1,4,7,,1,70,,,1,
544,1,2,32,0,,,7,1,70,30,60,3,19
545,4,2,49,1,4,2,,0,0,70,40,3,
546,1,2,29,0,7,0,,1,60,85,60,3,14
547,1,2,41,1,,,7,1,100,0,100,2,13
548,1,2,25,0,0,0,,1,50,50,50,5,18
549,1,2,33,0,0,2,,0,0,70,30,3,15
550,1,2,48,1,7,5,,1,100,0,100,2,19
551,1,2,46,1,0,2,,,85,15,70,3,19
552,1,2,66,1,2,7,,1,85,60,85,1,
553,1,2,74,1,7,0,,0,15,40,100,1,
554,1,2,65,1,7,1,,0,60,30,70,2,11
555,1,2,28,0,,,7,1,85,50,85,2,20
556,1,2,35,0,3,2,,0,50,30,50,5,
557,2,2,45,1,,,7,0,0,100,0,1,
558,1,2,26,0,3,0,,1,60,85,60,3,
559,1,2,32,0,3,3,,0,60,40,85,2,
560,1,2,55,0,,,0,1,70,15,85,2,
561,2,2,42,0,,,5,1,70,100,50,5,
562,2,2,40,0,,,0,,50,50,50,3,2
563,2,2,52,1,,,0,0,0,40,30,3,4
564,1,2,63,1,5,0,,1,85,0,85,2,
565,1,2,45,1,0,2,,1,85,15,85,2,19
566,2,2,45,1,7,1,,0,0,100,30,1,
567,1,2,78,1,7,7,,1,85,0,70,2,
568,1,2,58,0,,,7,0,60,60,60,1,
569,1,2,51,0,7,0,,,50,15,100,3,13
570,1,2,60,1,,,7,1,85,85,85,2,
571,2,2,39,1,4,0,,0,15,100,30,3,12
572,1,2,45,0,0,2,,1,70,0,70,2,23
573,4,1,36,1,,,7,0,15,85,70,3,18
574,,2,76,1,,,7,0,0,100,0,1,
575,4,1,23,0,,,1,0,60,40,70,2,15
576,1,2,24,1,0,7,,0,0,85,40,1,
577,1,2,25,1,1,1,,0,15,70,40,1,
578,1,2,30,1,0,0,,0,70,85,85,3,20
579,1,2,36,0,0,0,,0,0,70,30,1,
580,2,1,69,0,7,0,,0,30,100,85,1,11
581,1,2,45,1,,,3,1,75,25,50,3,17
582,1,1,19,0,2,0,,0,50,60,60,5,22
583,2,2,75,1,,,0,0,40,85,60,1,
584,2,2,64,0,,,0,0,0,100,30,1,3
585,2,2,76,1,7,7,,0,15,100,15,1,
586,2,2,19,0,,,7,0,70,85,70,1,9
587,1,2,64,1,7,7,,1,85,60,85,2,12
588,1,2,39,0,,,7,0,0,100,0,3,3
589,1,2,32,1,,,0,0,30,85,70,1,16
590,1,2,21,0,6,0,,0,60,50,70,2,11
591,1,2,46,0,,,0,0,15,60,15,1,17
592,1,2,47,0,,,0,0,0,60,0,1,18
593,1,2,61,1,7,0,,0,40,50,85,1,
594,1,2,24,0,5,0,,0,35,80,50,3,4
595,1,2,47,0,,,0,0,0,85,15,3,1
596,1,2,48,1,7,0,,0,60,0,70,2,19
597,1,2,64,1,,,0,0,40,50,50,3,11
598,1,2,26,0,2,7,,0,15,100,30,1,13
599,1,2,76,1,,,0,1,60,70,70,3,
600,1,2,66,1,7,7,,0,0,85,60,3,13
601,1,2,72,1,7,2,,0,40,60,30,1,10
602,1,2,52,1,1,2,,1,60,15,60,2,
603,1,2,62,1,,,7,0,0,60,15,1,16
604,1,2,44,1,,,7,0,0,60,70,2,
605,1,2,38,1,3,6,,0,15,0,85,3,18
606,1,2,43,1,5,0,,0,40,85,70,3,17
607,1,2,31,0,,,0,0,15,40,60,2,21
608,1,2,37,1,,,5,0,30,60,40,3,18
609,1,2,49,1,,,7,0,0,60,60,3,
610,1,1,69,1,5,0,,1,100,50,100,2,
611,1,1,28,0,,,0,0,50,0,50,1,18
612,1,1,87,1,3,7,,1,70,40,70,2,
613,1,1,61,1,,,7,0,60,15,100,2,21
614,1,1,61,1,,,0,0,40,15,85,2,
615,4,1,53,1,,,0,1,50,40,60,1,18
616,1,1,71,0,,,0,1,70,50,85,2,
617,4,1,21,1,,,7,0,0,70,15,,
618,1,1,42,1,3,0,,1,85,40,85,2,25
619,1,1,79,0,,,0,,40,,,5,6
620,4,1,76,0,5,5,,,,,,,
621,1,1,68,,7,0,,1,100,50,85,2,5
622,1,1,64,1,,,0,0,60,60,60,,
623,1,1,74,1,7,0,,0,60,85,40,1,
624,1,1,28,0,2,0,,0,40,50,50,3,12
625,1,1,23,0,,,2,0,40,60,40,2,
626,1,1,59,1,,,0,0,15,100,40,1,18
627,1,1,44,1,,,1,1,100,0,100,2,16
628,1,1,87,1,,,0,1,85,15,100,2,17
629,4,2,49,1,7,0,,0,30,85,30,1,
630,1,1,45,1,,,7,0,0,100,15,3,
631,1,1,19,0,0,0,,1,0,60,40,3,13
632,1,1,53,1,,,2,1,100,40,100,2,20
633,1,1,37,0,,,0,0,0,15,0,3,
634,1,1,26,0,,,7,1,70,60,70,2,18
635,1,1,83,1,,,0,1,85,,85,3,9
636,1,1,54,1,7,2,,1,85,50,70,2,
637,1,1,66,1,2,2,,0,50,90,90,1,
638,4,1,34,0,3,2,,0,60,85,40,1,18
639,1,1,75,1,,,0,0,0,0,100,2,
640,1,1,87,0,5,0,,1,85,40,70,2,
641,1,2,20,0,,,5,0,0,85,20,5,10
642,1,2,31,0,,,3,1,70,35,85,3,
643,1,2,53,0,,,2,0,40,50,50,3,17
644,4,1,77,1,2,0,,0,50,70,50,1,
645,1,2,72,1,7,7,,0,0,0,52,2,
646,1,2,81,1,,,0,1,100,50,100,2,18
647,1,2,87,1,7,7,,0,0,50,50,3,
648,1,2,77,1,7,2,,0,70,0,70,2,13
649,1,2,31,0,,,5,0,0,70,50,3,13
650,1,2,46,0,0,2,,1,52,53,53,3,
651,1,2,37,0,5,2,,1,75,50,60,2,13
652,2,2,32,0,,,0,0,0,85,15,1,
653,1,2,63,1,,,5,0,0,7,15,3,7
654,1,2,65,0,1,0,,,50,50,0,3,
655,1,2,81,1,,,0,0,10,65,85,,
656,1,2,64,1,,,0,0,15,100,60,1,
657,1,2,22,1,0,1,,0,0,70,50,3,15
658,1,2,77,1,4,7,,0,30,85,30,1,14
659,1,2,26,0,,,0,1,70,70,40,3,16
660,1,2,63,1,1,0,,0,0,0,30,1,
661,1,2,66,1,,,0,0,49,60,50,3,12
662,1,2,37,1,7,1,,0,0,50,40,3,19
663,1,2,53,1,,,4,0,15,60,30,3,
664,1,2,71,1,,,0,0,40,85,70,3,14
665,1,2,46,1,,,1,1,70,85,50,2,18
666,1,2,18,0,2,2,,1,70,50,85,3,22
667,1,2,43,1,0,0,,0,60,50,70,2,18
668,1,2,18,0,,,2,1,70,50,85,2,16
669,1,1,33,1,3,4,,1,85,60,85,2,18
670,1,2,49,0,0,0,,1,75,30,60,3,20
671,1,1,20,0,,,1,0,15,60,50,3,13
672,1,2,66,0,,,0,0,30,50,60,4,19
673,1,2,47,1,,,5,0,55,80,60,1,20
674,1,2,42,1,3,3,,0,30,0,60,3,21
675,1,2,42,1,7,0,,0,0,100,40,1,21
676,1,2,,1,,,0,0,40,70,40,5,20
677,1,2,75,1,1,7,,0,15,50,30,1,9
678,1,2,70,1,3,7,,1,85,60,85,2,25
679,1,2,65,1,,,0,1,70,10,70,2,12
680,1,2,26,1,2,4,,0,20,88,30,3,18
681,1,2,43,0,7,7,,1,85,50,100,2,22
682,1,2,56,1,1,7,,0,15,70,50,3,17
683,1,2,20,0,,,6,1,60,3,95,2,25
684,1,2,46,1,,,5,1,85,25,85,2,25
685,1,2,50,1,6,2,,0,70,35,55,2,25
686,4,1,41,0,7,0,,0,40,15,85,3,17
687,1,2,62,0,,,0,0,50,70,70,5,6
688,1,2,31,1,2,0,,1,70,40,100,2,24
689,1,2,60,1,,,1,1,70,50,70,2,21
690,1,2,47,1,3,0,,1,70,50,85,3,18
691,1,2,18,0,0,0,,0,0,70,40,2,14
692,1,2,42,0,,,3,0,40,0,70,1,12
693,1,2,60,1,,,7,0,70,70,70,5,18
694,1,2,45,1,,,7,0,60,60,70,2,24
695,1,2,37,1,0,0,,1,100,70,100,2,16
696,1,2,46,1,7,0,,0,0,85,15,1,
697,2,2,65,1,,,5,0,0,100,0,1,
698,1,2,54,1,,,2,1,85,50,85,2,24
699,1,2,60,1,,,0,1,70,0,70,2,
700,2,2,51,1,7,3,,0,60,100,40,4,22
701,1,2,77,1,7,7,,1,100,0,100,2,
702,1,2,36,1,5,0,,0,60,70,70,3,18
703,1,2,28,0,0,0,,1,60,50,50,5,17
704,1,2,41,1,7,0,,1,85,40,60,2,
705,1,2,48,1,3,0,,0,15,85,40,1,23
706,1,2,50,1,,,7,0,0,95,0,1,
707,2,2,46,0,7,1,,0,30,100,15,3,
708,2,2,31,1,,,5,0,0,100,40,1,15
709,2,2,25,1,6,5,,0,0,100,0,1,
710,2,2,30,1,,,7,0,15,85,30,3,
711,2,2,25,1,,,2,0,50,85,50,1,
712,2,2,49,0,1,0,,1,70,70,,,
713,2,2,52,0,7,5,,0,15,85,15,3,23
714,2,2,30,0,2,2,,1,60,100,50,2,2
715,2,2,54,1,4,0,,0,0,70,30,3,
716,2,2,41,0,1,1,,0,60,85,50,1,
717,2,2,40,1,4,1,,0,0,100,30,1,23
718,2,2,32,1,6,7,,0,0,100,0,1,21
719,2,2,22,0,1,2,,0,15,85,15,1,
720,2,1,48,1,,,2,0,0,85,15,1,14
721,2,2,48,1,,,4,0,40,70,50,1,
722,2,2,26,1,4,1,,0,40,85,30,3,
723,2,2,18,0,,,4,0,0,100,100,1,24
724,1,2,69,1,7,2,,0,15,50,85,3,
725,2,2,51,1,7,0,,0,15,100,40,1,22
726,2,2,54,1,,,3,0,40,100,40,1,25
727,2,2,48,0,5,0,,0,15,70,50,1,
728,2,2,73,0,,,6,0,0,100,5,1,
729,2,2,23,1,7,7,,0,0,85,40,3,17
730,1,2,33,1,,,7,0,50,40,60,3,25
731,1,2,36,0,,,0,1,40,40,40,3,12
732,2,2,70,1,,,0,0,0,85,60,3,
733,2,2,62,0,,,0,0,15,60,60,5,
734,2,2,28,1,2,0,,0,40,60,45,1,23
735,1,2,62,1,,,0,1,85,40,60,2,
736,1,2,57,0,,,0,0,30,60,60,5,4
737,1,2,36,0,0,0,,0,50,50,50,1,4
738,1,2,63,1,,,0,1,100,70,85,2,14
739,1,2,34,0,,,0,0,0,50,0,3,
740,1,2,62,1,7,0,,1,85,30,85,3,10
741,1,2,58,1,7,0,,1,100,50,85,3,
742,1,2,37,1,4,1,,,60,40,50,3,14
743,1,2,44,1,0,4,,1,70,0,70,2,13
744,2,2,49,1,5,6,,0,30,100,50,1,
745,2,2,31,1,,,0,0,0,85,30,3,13
746,2,2,55,0,,,0,0,60,85,60,3,
747,1,2,26,1,,,5,1,70,50,85,3,17
748,1,2,52,1,3,0,,,60,15,60,2,22
749,1,2,34,1,0,7,,0,0,70,40,3,
750,1,1,43,1,0,7,,1,85,50,85,2,
751,1,2,25,0,,,7,0,0,100,0,3,13
752,1,2,65,0,2,6,,0,40,40,15,1,
753,2,2,65,1,7,1,,0,0,100,15,1,19
754,1,2,50,1,5,4,,1,100,0,100,2,22
755,4,1,49,1,,,0,0,50,30,50,3,22
756,1,2,47,1,,,7,1,100,0,85,2,25
757,1,2,36,0,,,0,,40,70,60,3,23
758,2,2,48,1,,,7,0,15,100,30,3,
759,1,2,45,0,,,0,,60,50,50,3,10
760,1,2,59,1,7,7,,0,15,40,50,1,
761,1,2,33,0,,,0,0,15,40,85,3,
762,1,2,54,0,,,0,0,0,15,50,1,18
763,1,2,20,0,,,1,0,60,60,60,3,16
764,2,2,62,,,,0,0,0,100,,3,3
765,2,2,22,0,3,2,,0,0,100,0,1,
766,2,2,38,0,,,7,1,0,100,40,1,10
767,2,2,35,1,0,0,,0,30,100,30,1,11
768,2,2,37,1,0,1,,0,0,70,15,1,
769,2,2,50,1,7,3,,0,50,100,60,1,
770,2,2,66,0,4,7,,0,70,100,70,1,
771,2,2,26,1,1,1,,0,0,85,40,3,4
772,2,2,44,0,2,3,,0,60,70,50,2,4
773,2,2,38,1,,,3,0,0,100,60,1,15
774,2,2,57,0,2,0,,0,0,70,40,1,13
775,2,2,27,,1,1,,0,50,100,30,1,
776,2,2,37,1,,,7,0,0,100,30,1,14
777,2,2,49,,0,0,,0,50,75,,1,
778,2,2,55,1,,,2,0,0,100,0,1,4
779,4,1,37,0,7,0,,0,15,50,50,5,24
780,2,2,58,1,7,7,,0,0,85,15,1,18
781,2,2,44,1,4,0,,0,30,100,40,1,
782,2,2,21,0,7,2,,0,0,85,50,1,19
783,2,2,41,1,,,3,0,0,100,0,1,19
784,2,2,35,1,,,1,0,10,85,30,1,12
785,2,2,66,1,0,2,,0,30,85,40,1,19
786,1,2,70,1,4,1,,1,70,15,85,3,
787,2,2,68,1,7,3,,0,15,85,15,1,
788,2,2,44,1,5,0,,0,0,100,30,1,24
789,2,2,39,1,7,2,,0,0,100,0,1,
790,2,2,23,1,,,0,0,15,60,15,1,17
791,2,2,44,1,2,1,,0,0,100,0,1,22
792,2,2,61,1,,,5,0,0,100,0,1,18
793,2,2,25,1,,,5,0,15,85,50,3,16
794,2,2,38,1,,,2,0,50,90,50,1,
795,1,2,81,1,,,0,0,30,30,70,3,
796,1,2,51,,,,0,0,0,100,50,3,12
797,5,2,39,0,0,1,,0,15,30,50,5,14
798,1,2,49,0,,,0,0,0,50,0,1,4
799,1,2,54,0,2,0,,0,0,100,0,1,10
800,1,2,50,0,,,7,0,50,50,60,5,
801,1,2,23,1,7,0,,1,85,15,85,2,
802,1,2,57,1,2,0,,0,0,85,50,1,
803,1,2,27,1,,,7,1,50,60,60,3,21
804,1,2,48,1,,,0,0,30,60,60,1,3
805,1,2,33,1,3,4,,0,15,85,15,1,18
806,1,2,73,1,7,7,,0,0,15,100,1,10
807,1,2,81,0,,,0,0,40,50,40,1,8
808,1,2,27,1,,,5,1,90,0,75,2,18
809,1,2,50,1,7,4,,0,15,85,60,1,16
810,1,2,50,1,7,7,,0,50,40,50,3,12
811,1,2,40,1,0,2,,0,55,75,60,3,
812,1,2,71,1,,,0,1,70,15,100,2,
813,1,2,51,1,4,7,,0,50,50,40,1,15
814,1,2,23,1,4,0,,0,0,70,60,3,14
815,1,2,60,0,,,0,0,10,80,10,1,
816,1,2,72,0,,,0,0,0,100,30,1,
817,1,2,75,1,7,7,,,50,50,60,3,14
818,1,2,34,1,,,7,,40,50,60,,17
819,1,2,40,0,,,5,0,15,0,85,2,18
820,1,2,77,1,0,7,,0,50,0,50,1,11
821,1,2,76,1,,,0,0,30,100,70,1,10
822,1,2,29,1,4,5,,0,15,85,15,3,
823,1,2,40,0,,,0,,40,60,60,3,17
824,1,2,28,1,,,0,0,0,50,40,1,13
825,2,2,73,1,,,0,0,0,85,50,1,
826,2,2,63,0,7,0,,0,0,70,0,1,
827,2,2,48,0,7,0,,0,0,100,0,3,
828,2,2,48,1,,,7,0,40,100,40,1,
829,2,2,48,1,,,6,0,50,100,50,1,
830,1,2,44,0,0,0,,0,30,85,30,3,
831,2,2,56,1,,,7,0,0,85,0,1,15
832,2,2,24,0,7,5,,0,0,85,50,1,
833,1,2,34,0,2,0,,0,50,50,50,3,
834,1,2,23,0,1,4,,0,30,60,70,5,18
835,2,2,32,0,,,7,0,0,85,40,1,9
836,2,2,23,0,,,0,0,15,100,15,1,
837,1,2,38,0,,,2,0,0,60,0,3,17
838,1,2,51,1,,,7,0,30,70,30,1,12
839,1,2,48,0,2,0,,0,30,70,40,1,
840,1,1,43,0,,,0,0,0,,,3,18
841,1,2,71,1,7,0,,0,30,70,0,3,8
842,1,2,64,,2,1,,0,40,85,30,3,
843,1,2,31,0,,,0,0,0,85,15,1,13
844,1,2,82,0,,,0,1,60,30,50,3,
845,1,2,63,1,7,7,,1,100,15,100,2,14
846,1,2,57,1,,,7,1,85,60,100,2,13
847,1,2,52,1,7,0,,1,100,0,100,2,7
848,1,2,29,0,,,5,0,0,85,0,1,9
849,1,2,20,0,0,0,,0,15,70,50,1,14
850,1,2,49,0,,,0,0,50,70,0,1,10
851,1,2,53,0,7,1,,0,60,50,55,3,11
852,1,2,60,1,,,7,0,0,70,60,3,
853,1,2,90,1,7,7,,,85,50,50,2,
854,4,1,45,0,,,7,1,100,,,5,15
855,1,2,90,,,,0,1,50,15,75,1,
856,1,2,72,1,7,2,,0,15,100,50,1,
857,1,2,30,0,2,0,,1,50,85,60,3,14
858,4,2,49,0,,,7,0,40,60,40,3,18
859,1,2,49,0,,,0,1,85,70,70,3,4
860,1,2,31,0,,,0,,50,50,50,5,17
861,2,1,55,1,,,7,0,60,30,50,3,19
862,4,1,60,1,7,3,,1,70,60,70,2,
863,1,2,40,0,2,5,,0,60,30,60,3,
864,1,2,45,1,2,7,,1,75,15,75,4,
865,1,2,53,1,,,5,1,85,15,85,2,
866,1,2,56,1,4,3,,1,70,60,70,2,17
867,1,2,43,1,7,3,,0,15,60,30,3,22
868,1,2,54,1,5,1,,0,40,15,40,3,17
869,1,2,47,1,,,7,1,70,40,60,2,22
870,1,2,82,1,5,7,,0,30,60,30,1,15
871,1,2,62,1,,,5,0,85,30,85,2,
872,1,2,58,1,,,7,0,50,85,60,5,
873,1,1,32,1,5,2,,0,40,100,40,3,18
874,1,2,58,1,2,2,,1,85,100,85,1,13
875,1,2,49,1,,,0,1,85,15,60,2,25
876,1,2,72,1,7,7,,0,0,60,40,1,
877,1,2,35,1,7,3,,1,85,0,85,2,19
878,2,2,22,0,,,2,0,50,100,50,3,1
879,2,2,86,1,4,4,,1,40,50,15,3,8
880,2,2,79,1,,,0,0,25,100,50,1,
881,2,2,83,1,,,0,,,100,,1,7
882,2,2,75,0,,,0,0,40,85,15,1,10
883,2,2,36,1,,,7,1,40,100,50,1,15
884,2,2,32,0,4,7,,0,50,100,70,1,18
885,2,2,84,1,0,0,,0,0,,0,1,
886,2,2,53,1,,,0,0,60,85,60,1,9
887,2,2,47,0,4,0,,0,0,85,60,1,8
888,2,2,35,1,7,2,,0,25,100,50,5,10
889,2,2,58,1,,,0,0,30,100,30,1,10
890,2,2,59,1,,,0,0,40,100,50,1,
891,2,2,46,1,,,2,0,15,100,50,1,11
892,2,2,60,0,7,0,,0,15,70,40,1,9
893,2,2,32,0,,,0,0,50,85,50,3,
894,2,2,53,1,,,0,,60,70,85,1,10
895,2,2,65,0,7,3,,0,50,100,70,1,14
896,2,2,58,0,0,0,,0,85,50,60,1,9
897,2,2,41,1,7,7,,0,0,100,15,1,18
898,2,2,32,0,,,2,0,50,15,30,3,11
899,2,2,73,1,,,0,0,50,85,65,1,
900,2,2,29,1,,,1,1,70,50,50,1,
901,2,2,57,1,,,6,0,50,100,40,1,12
902,2,2,41,1,,,0,0,0,100,0,1,15
903,2,2,46,1,1,0,,0,50,100,100,1,8
904,2,2,50,1,,,0,0,60,70,60,1,
905,2,2,54,1,,,0,0,0,100,30,1,
906,2,2,78,1,,,0,0,30,100,70,1,17
907,2,2,82,0,7,0,,0,0,100,0,1,
908,2,2,31,1,4,4,,0,30,85,50,1,25
909,2,2,31,1,,,0,0,0,100,50,3,
910,2,2,21,0,,,3,1,50,70,50,1,
911,2,2,32,1,,,0,0,0,60,0,1,17
912,2,2,50,0,1,2,,0,40,70,50,,3
913,2,2,29,1,1,7,,0,60,85,60,3,
914,2,2,45,1,3,3,,0,0,100,0,1,11
915,2,2,47,1,,,0,0,50,100,50,3,
916,2,2,26,0,0,5,,0,60,85,40,1,7
917,2,2,24,0,,,0,0,50,100,50,3,
918,2,2,43,1,7,3,,0,15,70,60,1,
919,2,2,18,0,5,2,,,60,85,70,3,2
920,2,2,44,0,2,2,,0,30,50,30,1,12
921,2,2,53,1,2,7,,0,0,100,0,1,
922,2,2,38,0,1,7,,0,70,85,70,3,14
923,2,2,79,0,5,0,,0,60,85,60,1,
924,2,2,55,0,0,2,,0,50,70,50,3,18
925,2,2,44,1,7,4,,0,50,100,50,1,17
926,2,2,53,0,,,0,0,40,60,40,1,
927,2,2,69,1,,,0,0,0,100,0,1,
928,2,2,37,0,2,7,,0,60,100,50,3,11
929,2,2,27,0,0,1,,0,0,50,50,,
930,2,2,25,0,0,0,,0,70,85,70,3,
931,2,2,68,,,,0,0,50,100,0,1,
932,2,2,48,0,2,7,,0,40,50,30,3,
933,2,2,46,1,3,0,,1,50,60,50,3,
934,2,2,59,,1,1,,1,60,70,70,1,11
935,1,2,47,1,,,6,1,85,40,85,3,
936,1,2,57,1,,,5,1,85,60,85,1,16
937,1,2,29,1,,,7,0,70,30,70,2,15
938,1,2,56,0,5,1,,0,70,60,60,1,
939,1,2,45,1,,,4,1,75,15,70,2,24
940,1,2,49,0,0,0,,0,40,50,50,1,7
941,1,2,48,0,,,0,1,85,15,70,3,17
942,1,2,31,1,,,2,1,50,25,25,3,23
943,1,2,59,0,7,7,,0,70,100,100,1,
944,1,2,30,1,0,2,,0,40,55,70,,17
945,1,2,58,1,7,1,,0,0,60,50,1,
946,1,2,40,1,2,3,,1,70,40,50,3,23
947,1,2,50,0,,,1,0,50,50,30,1,7
948,1,2,37,0,1,0,,1,50,50,50,5,
949,1,2,32,1,,,3,1,85,0,60,2,19
950,1,2,78,1,,,7,1,85,0,85,2,12
951,1,2,37,0,0,0,,0,60,50,50,3,7
952,1,2,28,1,,,3,1,50,60,50,3,
953,1,2,23,1,1,0,,0,60,30,50,2,
954,1,2,60,1,,,0,0,30,30,40,2,21
955,1,2,81,1,,,0,0,55,15,70,1,
956,1,2,64,1,4,1,,0,15,50,40,1,
957,1,2,52,1,4,1,,1,85,0,85,2,19
958,1,2,56,0,,,0,1,85,0,70,2,
959,1,2,59,1,7,0,,0,60,40,70,1,7
960,1,2,66,0,,,0,0,60,70,60,3,1
961,1,2,33,1,,,2,1,60,50,60,3,18
962,1,2,37,1,1,0,,0,60,70,60,3,18
963,4,1,37,0,7,0,,0,50,60,40,1,8
964,1,2,42,1,,,7,0,0,60,40,3,17
965,1,2,64,1,7,5,,0,30,100,30,1,11
966,4,1,20,0,,,0,0,30,60,50,3,17
967,1,2,62,1,,,0,0,60,70,60,3,18
968,4,2,40,0,,,0,1,85,70,70,3,11
969,1,2,52,1,6,2,,0,0,75,10,1,18
970,1,2,84,1,,,3,0,50,50,50,1,9
971,1,2,26,1,,,2,0,50,15,85,2,25
972,1,2,61,1,,,0,0,30,15,70,3,
973,1,2,30,1,0,7,,0,50,50,60,2,
974,1,2,41,1,,,7,0,70,0,100,2,18
975,1,2,63,1,7,0,,0,0,80,50,1,15
976,1,2,60,0,,,5,0,0,70,40,3,
977,1,2,39,1,6,0,,0,0,70,50,3,19
978,1,2,58,1,,,1,0,0,100,30,1,22
979,1,2,58,1,,,7,0,15,70,60,1,24
980,1,2,46,1,,,7,0,15,85,60,1,
981,1,2,45,1,3,1,,1,70,30,85,2,25
982,1,2,62,1,,,7,0,60,40,85,3,23
983,5,2,19,0,1,0,,0,30,60,30,5,25
984,2,2,59,1,,,7,0,10,95,45,3,24
985,1,2,58,1,7,7,,0,30,85,40,1,
986,1,2,31,1,0,0,,1,70,15,85,2,23
987,1,2,70,1,3,5,,0,30,30,60,2,21
988,1,2,37,0,,,4,1,40,60,50,3,
989,1,2,58,1,3,6,,0,30,60,0,2,18
990,1,2,66,1,,,0,1,85,15,85,2,24
991,1,2,49,0,,,2,1,50,50,50,5,17
992,1,2,57,0,0,7,,1,60,50,50,3,
993,1,2,62,1,,,0,0,15,50,50,5,14
994,1,2,51,1,,,0,0,0,100,0,3,
995,1,2,34,0,2,0,,0,40,60,40,1,17
996,1,2,33,0,2,0,,0,0,60,0,1,22
997,1,2,54,1,6,7,,1,70,40,80,2,
998,1,2,47,1,0,1,,0,15,70,15,1,7
999,2,2,26,,,,0,0,50,100,50,5,
1000,2,2,35,0,4,5,,0,0,100,0,1,17
1001,2,2,45,0,7,7,,1,50,100,70,,
1002,2,2,39,0,0,0,,0,0,60,,,
1003,2,2,20,0,,,7,0,0,100,50,3,4
1004,2,2,22,0,0,3,,0,40,70,50,3,
1005,2,2,47,1,7,2,,0,70,40,60,1,16
1006,2,2,52,1,7,5,,0,0,100,0,1,
1007,2,2,80,1,0,7,,0,0,85,40,3,
1008,2,2,63,1,,,0,0,0,85,15,1,
1009,2,2,43,0,3,0,,0,59,60,50,1,
1010,2,2,62,1,7,0,,0,50,100,50,4,
1011,2,2,52,1,2,2,,0,0,100,0,5,
1012,2,2,43,0,,,0,1,85,60,60,1,6
1013,2,1,19,0,,,2,0,0,100,0,1,14
1014,2,2,55,1,7,0,,0,0,100,0,1,20
1015,2,2,54,1,7,0,,0,0,100,0,1,13
1016,,2,80,1,,,0,0,50,60,40,1,
1017,2,2,59,1,5,7,,0,30,100,30,1,13
1018,2,2,51,1,7,0,,0,0,100,15,1,17
1019,2,2,56,1,7,0,,0,0,100,15,1,5
1020,2,2,76,1,,,2,0,0,100,0,1,
1021,2,2,59,1,,,3,0,0,100,30,1,
1022,4,1,79,1,,,0,0,40,100,60,1,
1023,2,2,56,1,6,0,,,60,75,70,3,
1024,2,2,78,1,5,7,,0,50,85,60,1,
1025,2,2,56,1,,,0,0,50,100,50,1,9
1026,2,2,32,1,,,0,0,50,50,30,3,
1027,2,2,75,1,,,0,0,50,70,50,1,8
1028,2,2,62,0,,,0,0,15,100,0,1,11
1029,2,2,,0,,,0,0,40,50,60,1,7
1030,2,2,47,1,,,4,0,60,60,60,3,2
1031,2,2,73,1,,,0,0,40,50,40,1,
1032,2,2,82,1,2,7,,0,30,100,30,1,1
1033,2,2,42,0,,,0,0,0,85,0,3,
1034,2,2,51,0,1,7,,0,0,85,15,1,15
1035,2,2,58,1,,,1,0,30,100,15,3,
1036,2,2,34,0,6,1,,0,60,85,50,3,11
1037,2,2,35,,,,0,0,50,85,50,1,
1038,2,2,36,1,6,4,,0,15,100,0,1,16
1039,2,2,20,0,3,4,,0,15,100,30,1,
1040,4,1,58,1,5,1,,0,30,85,60,1,
1041,2,2,53,1,7,3,,0,0,85,30,1,
1042,4,1,58,1,,,0,0,50,50,30,,1
1043,2,2,41,1,,,0,0,0,100,0,1,
1044,2,2,39,1,,,0,0,60,100,60,1,9
1045,2,2,45,0,3,2,,,60,60,70,3,2
1046,2,2,19,0,,,0,0,40,55,40,3,
1047,2,2,37,1,,,0,0,0,85,0,1,6
1048,2,2,68,1,,,4,0,15,100,15,3,
1049,2,2,88,1,0,0,,0,70,60,30,1,
1050,2,2,51,0,1,0,,0,30,60,30,3,10
1051,2,2,19,0,,,2,0,15,70,0,1,
1052,2,2,23,0,1,1,,0,0,85,50,1,14
1053,2,2,90,1,,,0,0,30,70,30,1,
1054,2,2,43,0,,,0,0,0,85,15,1,12
1055,2,2,63,1,4,0,,0,0,85,0,1,
1056,2,2,54,1,,,0,0,0,85,0,3,18
1057,6,1,47,1,,,0,0,0,100,0,1,
1058,4,2,64,1,,,0,0,0,85,30,1,
1059,2,2,65,1,,,0,0,0,90,0,1,
1060,2,2,63,1,,,0,0,30,70,50,1,19
1061,2,2,85,1,,,0,0,60,70,50,1,17
1062,2,2,51,1,,,0,0,0,100,0,1,
1063,2,2,55,1,7,0,,0,0,100,0,1,
1064,2,2,53,1,0,0,,0,0,70,15,1,
1065,2,2,25,1,1,2,,0,30,100,30,1,7
1066,2,2,85,0,,,0,0,0,100,50,1,
1067,2,2,36,1,1,5,,0,15,85,30,1,17
