rid,race,latino,age,vote04,tvnews,newspaper,internet,approval,bush.th,obama.th,mccain.th,partyid,income
64,1,2,53,0,7,0,,0,30,85,85,3,25
65,1,2,28,1,,,7,0,0,85,15,1,14
66,1,2,28,1,0,0,,0,15,85,30,1,18
67,1,2,90,1,7,7,,,100,50,70,2,17
68,1,2,40,1,,,7,0,0,85,30,1,25
69,1,2,66,1,,,0,0,0,85,15,1,25
70,1,2,42,0,0,7,,0,0,100,0,1,25
71,1,2,47,1,,,6,0,0,80,0,3,
72,4,2,34,1,,,4,0,15,60,40,5,19
73,2,2,20,0,0,0,,0,0,100,0,1,
74,2,2,50,0,5,0,,0,0,70,0,1,
75,2,2,36,1,0,1,,0,15,100,60,3,7
76,1,2,58,1,,,0,0,0,100,30,1,
77,1,2,32,1,,,6,0,0,100,30,1,19
78,1,2,36,0,1,3,,1,60,70,85,3,
79,4,2,29,1,4,0,,0,0,70,15,1,11
80,2,2,29,1,7,3,,0,0,100,40,1,
81,1,1,35,1,0,7,,0,0,70,60,1,18
82,1,2,28,0,,,3,1,85,50,70,3,18
83,2,2,75,1,,,0,0,0,100,15,1,
84,4,2,61,0,,,0,0,40,70,50,1,
85,1,2,35,1,,,5,1,60,40,70,2,20
86,1,1,25,0,1,0,,1,60,0,60,3,16
87,1,1,51,1,,,5,0,60,0,100,1,14
88,1,2,38,1,,,3,0,30,50,85,2,18
89,1,1,52,1,,,0,0,15,60,40,1,11
90,1,2,27,0,1,3,,0,60,50,70,3,17
91,1,1,53,1,,,5,1,85,40,100,1,18
92,2,2,33,0,,,1,0,15,60,40,1,
93,1,2,25,1,,,5,1,85,50,100,2,
94,1,1,51,0,2,2,,0,60,85,60,4,12
95,1,1,45,0,,,7,0,30,60,50,1,
96,1,2,24,0,,,0,0,30,60,30,5,2
97,1,1,25,1,,,0,0,15,85,30,3,
98,1,1,28,0,1,0,,0,50,60,40,1,19
99,4,2,45,1,,,5,1,100,60,85,2,19
100,2,2,62,0,0,0,,0,60,90,,3,
101,1,2,54,1,0,0,,0,60,85,60,3,
102,2,2,28,0,1,0,,,70,85,,3,12
103,1,2,23,0,0,0,,1,70,50,50,3,10
104,5,2,59,1,,,5,0,15,85,40,1,
105,2,1,19,0,,,3,0,0,60,0,2,
106,1,1,61,1,,,0,0,60,85,40,1,5
107,4,1,28,1,,,3,0,0,70,15,3,
108,4,1,56,1,,,0,0,0,70,0,1,17
109,4,1,26,0,,,0,0,0,85,50,3,
110,1,1,60,1,,,6,0,0,0,85,1,19
111,4,1,37,0,,,4,0,15,60,40,1,18
112,4,1,29,0,3,2,,0,50,50,40,1,
113,4,1,58,0,6,0,,0,60,85,70,3,
114,4,1,30,0,1,0,,1,70,85,70,1,11
115,4,1,19,0,,,0,0,0,85,0,3,20
116,1,1,55,1,,,5,0,0,85,30,1,17
117,4,1,35,0,1,0,,0,15,70,40,1,
118,2,2,67,1,,,0,0,15,100,30,1,
119,4,1,35,1,2,6,,1,0,70,60,5,18
120,4,2,73,1,7,0,,0,50,60,60,1,10
121,2,2,63,1,,,1,0,0,85,0,1,18
122,4,2,35,1,,,7,0,40,60,70,3,
123,4,2,20,0,1,5,,0,40,50,50,3,18
124,1,2,60,0,,,0,0,0,60,0,1,
125,1,1,31,0,,,3,0,40,50,70,2,20
126,1,2,53,1,,,7,0,40,60,50,5,19
127,1,2,65,1,,,0,0,0,60,50,1,
128,1,2,26,0,7,2,,0,50,70,30,3,
129,1,2,75,1,7,6,,1,85,40,85,2,
130,1,2,26,0,,,0,0,60,50,50,3,
131,1,2,58,1,0,0,,0,0,100,30,3,18
132,1,2,50,1,1,0,,0,15,85,30,1,14
133,1,2,35,1,0,3,,0,15,15,15,3,15
134,1,2,52,0,,,0,0,30,70,50,2,18
135,1,2,18,0,2,1,,1,50,50,50,1,17
136,4,2,57,1,7,7,,0,15,70,40,3,8
137,1,2,52,1,,,0,1,40,50,50,2,14
138,4,1,36,1,5,0,,0,0,85,70,1,25
139,1,2,76,1,,,2,0,60,15,60,2,21
140,1,2,56,0,0,0,,0,0,85,50,5,
141,1,2,53,1,0,3,,1,100,0,70,2,25
142,1,2,78,1,5,0,,0,40,85,60,1,
143,1,2,39,0,,,3,0,40,85,50,1,
144,1,2,58,1,7,6,,0,50,30,60,3,19
145,1,2,31,1,0,0,,0,40,30,60,2,20
146,1,2,64,1,,,0,0,0,100,40,1,25
147,1,2,65,1,,,7,1,70,0,60,3,18
148,1,2,57,0,,,5,0,0,0,0,,20
149,1,2,66,0,,,0,0,15,50,40,3,
150,1,2,60,1,,,0,0,0,100,40,1,19
151,1,2,46,1,3,0,,0,15,85,30,1,15
152,1,2,57,1,,,7,1,85,15,70,2,25
153,1,2,42,1,,,5,1,100,60,85,2,24
154,1,2,59,1,6,4,,0,0,100,30,3,
155,1,2,64,0,,,0,0,40,85,60,3,9
156,1,2,65,1,,,3,0,0,85,15,1,17
157,1,2,45,1,,,7,0,30,60,30,3,18
158,1,2,,1,,,1,0,0,85,15,1,19
159,1,2,56,,,,0,1,70,50,70,1,15
160,1,2,26,1,2,0,,0,30,70,50,3,13
161,1,2,35,0,0,0,,1,60,60,50,4,19
162,4,2,34,1,1,0,,0,15,70,50,2,24
163,2,2,20,0,0,0,,0,30,60,50,5,
164,1,1,85,1,,,0,0,0,50,40,1,
165,5,1,36,1,,,3,0,70,50,70,2,
166,1,2,26,1,,,7,1,70,100,50,3,
167,1,2,46,0,,,0,0,30,,70,1,4
168,4,1,46,1,6,0,,0,40,85,40,1,12
169,4,2,63,0,1,0,,1,70,70,70,,25
170,4,1,53,0,2,0,,0,0,50,70,2,9
171,4,1,50,0,,,0,0,60,100,60,1,15
172,4,1,44,1,,,5,1,60,85,60,1,14
173,4,1,65,1,,,0,0,60,100,40,1,14
174,1,1,76,1,0,7,,1,100,0,100,2,
175,4,2,,0,,,0,0,0,85,40,1,
176,1,2,60,1,,,7,0,30,85,40,1,
177,1,2,50,1,,,6,0,30,70,60,1,
178,1,2,40,1,2,5,,0,0,85,40,1,19
179,1,2,58,1,5,3,,0,15,50,40,3,
180,1,2,75,1,,,0,1,85,30,100,2,8
181,1,2,85,1,,,0,0,30,70,50,1,9
182,1,2,65,1,,,0,,100,30,70,2,
183,4,1,27,1,,,7,0,10,90,35,3,22
184,4,1,20,0,,,0,0,30,60,50,3,16
185,4,2,20,0,,,4,0,30,70,50,5,8
186,1,2,72,0,,,0,0,70,70,60,5,6
187,1,2,45,0,,,7,0,40,40,40,5,25
188,1,2,45,1,0,1,,0,15,70,15,1,24
189,1,2,46,1,0,2,,1,60,30,60,2,21
190,4,1,32,1,0,4,,1,85,60,70,1,22
191,1,2,36,0,2,0,,0,30,40,70,3,18
192,1,1,61,1,,,5,1,70,40,85,2,17
193,4,2,32,1,3,3,,0,0,85,15,1,20
194,1,2,72,1,7,2,,1,70,65,50,3,14
195,1,2,34,0,0,0,,1,70,60,50,2,25
196,1,2,46,1,,,1,0,40,40,60,2,24
197,4,2,56,0,,,1,0,30,50,30,5,15
